date,newVaccines,sevenDayAverageVaccines
12/20/20,556208,
12/21/20,57909,
12/22/20,0,
12/23/20,393908,
12/24/20,0,
12/25/20,0,
12/26/20,936560,
12/27/20,0,198340
12/28/20,182558,216147
12/29/20,0,216127
12/30/20,667445,255223
12/31/20,0,255223
1/1/21,0,255223
1/2/21,1431168,325882
1/3/21,0,325882
1/4/21,337504,348017
1/5/21,273209,387047
1/6/21,470328,358887
1/7/21,612621,446404
1/8/21,768813,556235
1/9/21,0,351782
1/10/21,0,351782
1/11/21,2299091,632009
1/12/21,339816,641524
1/13/21,951324,710238
1/14/21,870529,747082
1/15/21,1130189,798707
1/16/21,0,798707
1/17/21,0,798707
1/18/21,0,470265
1/19/21,3428408,911493
1/20/21,817669,892399
1/21/21,1021117,913912
1/22/21,1561585,975540
1/23/21,1430031,1179830
1/24/21,1310665,1367068
1/25/21,885588,1493580
1/26/21,806751,1119058
1/27/21,1111640,1161054
1/28/21,1541048,1235330
1/29/21,1690979,1253815
1/30/21,1693241,1291416
1/31/21,1545397,1324949
2/1/21,1099103,1355451
2/2/21,558458,1319981
2/3/21,1097394,1317946
2/4/21,1325456,1287147
2/5/21,1615502,1276364
2/6/21,2218752,1351437
2/7/21,2172973,1441091
2/8/21,1206680,1456459
2/9/21,788573,1489333
2/10/21,1563780,1555959
2/11/21,1620300,1598080
2/12/21,2020288,1655907
2/13/21,2231326,1657703
2/14/21,2242472,1667631
2/15/21,0,1495248
2/16/21,2336008,1716311
2/17/21,1061463,1644551
2/18/21,1455940,1621071
2/19/21,1847276,1596355
2/20/21,1704457,1521088
2/21/21,1801134,1458040
2/22/21,1086840,1613303
2/23/21,854609,1401674
2/24/21,1432864,1454731
2/25/21,1809170,1505193
2/26/21,2179947,1552717
2/27/21,2352116,1645240
2/28/21,2429823,1735053
3/1/21,1663984,1817502
3/2/21,1731614,1942788
3/3/21,1908873,2010790
3/4/21,2032374,2042676
3/5/21,2435246,2079147
3/6/21,2904229,2158020
3/7/21,2439427,2159392
3/8/21,1738102,2169981
3/9/21,1602746,2151571
3/10/21,2028692,2168688
3/11/21,2482603,2233006
3/12/21,2924112,2302844
3/13/21,4575496,2541597
3/14/21,1356773,2386932
3/15/21,2021586,2427430
3/16/21,1655996,2435037
3/17/21,2299771,2473762
3/18/21,2692381,2503731
3/19/21,2583810,2455116
3/20/21,3127679,2248285
3/21/21,3039915,2488734
3/22/21,2028324,2489697
3/23/21,1707293,2497025
3/24/21,2256824,2490889
3/25/21,2831442,2510755
3/26/21,3379393,2624410
3/27/21,3496047,2677034
3/28/21,3281956,2711611
3/29/21,2350144,2757586
3/30/21,1789510,2769331
3/31/21,2670947,2828491
4/1/21,3358112,2903730
4/2/21,3975059,2988825
4/3/21,4081959,3072527
4/4/21,3365324,3084436
4/5/21,2134049,3053566
4/6/21,1404280,2998533
4/7/21,2884580,3029052
4/8/21,3403061,3035473
4/9/21,3958065,3033045
4/10/21,4629928,3111327
4/11/21,3579422,3141912
4/12/21,2644914,3214093
4/13/21,2590736,338438
4/14/21,2509055,3330740
4/15/21,3525204,3348189
4/16/21,3965883,3349306
4/17/21,3588990,3200601
4/18/21,3534901,3194240
4/19/21,2174495,3127038
4/20/21,1806929,3015065
4/21/21,2563671,3022868
4/22/21,2995734,2947229
4/23/21,3374587,2862758
4/24/21,3318230,2824078
4/25/21,3020948,2750656
4/26/21,2107046,2741021
4/27/21,1639215,2717062
4/28/21,2231745,2669644
4/29/21,2721079,2630407
4/30/21,2799184,2548207
5/1/21,3303794,2546144
5/2/21,2127998,2418580
5/3/21,1188734,2287393
5/4/21,988846,2194483
5/5/21,1797771,2132487
5/6/21,2406932,2087608
5/7/21,2805581,2088522
5/8/21,2567872,1983391
5/9/21,2369784,2017931
5/10/21,1882392,2117025
5/11/21,1533180,2194787
5/12/21,1548283,2159146
5/13/21,1915642,2088962
5/14/21,1842180,1951333
5/15/21,2393676,1926448
5/16/21,2093069,1886917
5/17/21,1486490,1830360
5/18/21,1123306,1771807
5/19/21,1754966,1801333
5/20/21,2107077,1828681
5/21/21,2198101,1879526
5/22/21,2345872,1872697
5/23/21,1779363,1827882
5/24/21,1170314,1782714
5/25/21,897972,1750524
5/26/21,1423432,1703162
5/27/21,1512303,1618194
5/28/21,1375171,1500632
5/29/21,1605272,1394832
5/30/21,1223800,1315466
5/31/21,0,1148279
6/1/21,1475390,1230767
6/2/21,508652,1100084
6/3/21,808036,999474
6/4/21,1399594,1002963
6/5/21,1148208,937669
6/6/21,1369848,958533
6/7/21,1213339,1131867
6/8/21,1071750,1074204
6/9/21,829809,1120083
6/10/21,934142,1138099
6/11/21,822177,1055610
6/12/21,1602933,1120571
6/13/21,1209817,1097710
6/14/21,1323282,1113416
6/15/21,1240847,1137572
6/16/21,1028496,1165956
6/17/21,2054216,1325967
6/18/21,1079390,1362712
6/19/21,1069021,1286438
6/20/21,848611,1234838
6/21/21,610033,1132945
6/22/21,647403,1048167
6/23/21,648209,993840
6/24/21,815152,816831
6/25/21,512174,735800
6/26/21,923724,715044
6/27/21,1204225,765846
6/28/21,1087043,833990
6/29/21,738476,847000
6/30/21,1368679,949925
7/1/21,1630778,1066443
7/2/21,657166,1087156
7/3/21,1161081,1121064
7/4/21,633702,1039561
7/5/21,0,884269
7/6/21,610094,865929
7/7/21,437117,732848
7/8/21,694333,599070
7/9/21,620612,593848
7/10/21,598995,513550
7/11/21,586244,506771
7/12/21,449122,570931
7/13/21,341466,532556
7/14/21,545543,548045
7/15/21,567174,529879
7/16/21,549205,519678
7/17/21,635290,524863
7/18/21,500910,512673
7/19/21,507076,520932
7/20/21,243940,507020
7/21/21,611493,516441
7/22/21,660898,529830
7/23/21,600157,537109
7/24/21,676050,542932
